record_id,entity_type,name,jurisdiction,address,birth_date,source_register
agg-p-Q0044-0,person,Hassan  Lindqvist,NL,"Zuidplein 126, 1077 XV Amsterdam",1992-12-11,worldcheck
agg-p-Q0044-1,person,Hassan Lindqvist,NL,"ZUIDPLEIN 126,1077 XV AMSTERDAM",1992-12-11,national_register
agg-p-Q0046-0,person,Maria Lindqvist,RU,"Nevsky Prospekt 28, Saint Petersburg 191186",1994-07-07,national_register
agg-p-Q0046-1,person,Maria Lindqvist,RU,"Nevsky Prospekt 28, Saint Petersburg 191186",1994-07-07,national_register
agg-p-Q0047-0,person,Irina Okafor,IT,"VIA MONTE NAPOLEONE 8,20121 MILANO",1964-11-18,worldcheck
agg-p-Q0048-0,person,Nadia Fischer,GH,"Independence Avenue 5, Ridge, Accra",1976-01-18,national_register
agg-p-Q0049-0,person,Sofia Adeyemi,CN,"Jing'an District, 1266 Nanjing West Road, Shanghai",1979-06-05,opencorporates
agg-p-Q0049-1,person,Sofia Adeyemi,CN,"Jing'an District, 1266 Nanjing West Road, Shanghai",1979-06-05,opencorporates
agg-p-Q0051-0,person,Andrei Yilmaz,NL,ZUIDPLEIN 126,1952-09-17,national_register
agg-p-Q0054-0,person,Sofia Okafor,CY,"THEMISTOKLI DERVI 3,JULIA HOUSE,1066 NICOSIA",1979-04-17,worldcheck
agg-p-Q0055-0,person,Daniel Lindqvist,NL,"ZUIDPLEIN 126,1077 XV AMSTERDAM",1966-10-04,national_register
agg-p-Q0056-0,person,Sofia Ibrahim,NL,"Zuidplein 126, 1077 XV Amsterdam",1989-03-16,opencorporates
agg-p-Q0058-0,person,Peter Silva,CY,"Arch. Makariou III 199, Neocleous House, 3030 Limassol",1960-02-08,opencorporates
agg-p-Q0058-1,person,Peter Silva,CY,"Arch. Makariou III 199, Neocleous House, 3030 Limassol",1960-02-08,national_register
agg-p-Q0059-0,person,Nikolai Fischer,RU,"Nevsky Prospekt 28, Saint Petersburg 191186",1978-04-27,opencorporates
agg-p-Q0059-1,person,Nikolai Fischer,RU,"ULITSA TVERSKAYA 12,MOSCOW 125009",1978-04-27,opencorporates
agg-p-Q0060-0,person,Grace Ibrahim,RU,NEVSKY PROSPEKT 28,1978-05-01,national_register
agg-p-Q0060-1,person,Grace Ibrahim,RU,Ulitsa Tverskaya 12,1978-05-01,worldcheck
agg-p-Q0061-0,person,Lucia Dubois,CY,"Arch. Makariou III 199, Neocleous House, 3030 Limassol",1970-05-25,opencorporates
agg-p-Q0062-0,person,Irina Costa,AE,"Office 3402, Almas Tower, JLT, Dubai",1951-06-18,opencorporates
agg-p-Q0064-0,person,Nikolai Okafor,RU,"Nevsky Prospekt 28, Saint Petersburg 191186",1989-06-18,opencorporates
agg-p-Q0065-0,person,Fatima Dbois,UA,"Khreshchatyk Street 22, Kyiv 01001",1954-12-02,national_register
agg-p-Q0066-0,person,Irina Adeyeemi,NL,"Zuidplein 126, 1077 XV Amsterdam",1969-01-04,worldcheck
agg-p-Q0067-0,person,Anna Yiilmaz,NL,"Zuidplein 126, 1077 XV Amsterdam",1975-12-17,opencorporates
agg-p-Q0068-0,person,Lucia Fischer,RU,NEVSKY PROSPEKT 28,1954-09-25,worldcheck
agg-p-Q0069-0,person,Nikolai Reyes,GB,"Beaufort House, 15 St Botolph Street, London EC3A 7BB",1985-10-12,opencorporates
agg-p-Q0070-0,person,Fatima Nkaamura,NL,"Zuidplein 126, 1077 XV Amsterdam",1958-02-27,national_register
agg-p-Q0072-0,person,Clara Berg,NL,"Zuidplein 126, 1077 XV Amsterdam",1967-01-03,opencorporates
agg-p-Q0073-0,person,Andrei Slva,NL,"ZUIDPLEIN 126,1077 XV AMSTERDAM",1956-09-16,national_register
agg-p-Q0073-1,person,Andrei Silva,NL,ZUIDPLEIN 126,1956-09-16,national_register
agg-p-Q0074-0,person,Irina Okafor,UA,"Khreshchatyk Street 22, Kyiv 01001",1984-10-14,opencorporates
agg-p-Q0074-1,person,Irina Okafor,UA,"KHRESHCHATYK STREET 22,KYIV 01001",1984-10-14,national_register
agg-p-Q0076-0,person,Viktor Nakamura,CH,"BAHNHOFSTRASSE 45,8001 ZURICH",1951-06-12,national_register
agg-p-Q0077-0,person,Ivan Kovacs,CH,"BAHNHOFSTRASSE 45,8001 ZURICH",1956-01-23,national_register
agg-p-Q0078-0,person,Lucia Okafor,CN,"Jing'an District, 1266 Nanjing West Road, Shanghai",1960-10-22,worldcheck
agg-p-Q0078-1,person,Lucia Okafor,CN,"Jing'an District, 1266 Nanjing West Road, Shanghai",1960-10-22,opencorporates
agg-p-Q0079-0,person,Daniel Lindqvist,IT,"Via Monte Napoleone 8, 20121 Milano",1967-11-22,national_register
agg-p-Q0080-0,person,Omar Berg,UA,"Khreshchatyk Street 22, Kyiv 01001",1974-10-08,national_register
agg-p-Q0080-1,person,Omar Berg,UA,KHRESHCHATYK STREET 22,1974-10-08,opencorporates
agg-p-Q0081-0,person,Peter Reyes,RU,"Ulitsa Tverskaya 12, Moscow 125009",1990-06-21,opencorporates
agg-p-Q0083-0,person,Lucia Larsen,CH,"Bahnhofstrasse 45, 8001 Zurich",1950-03-11,national_register
agg-p-Q0085-0,person,Viktor Reyes,AE,"OFFICE 3402,ALMAS TOWER,JLT,DUBAI",1994-11-01,national_register
agg-p-Q0086-0,person,Samuel Marchetti,CN,"Jing'an District, 1266 Nanjing West Road, Shanghai",1967-07-10,worldcheck
agg-p-Q0087-0,person,Sofia Haddad,GH,"Independence Avenue 5, Ridge, Accra",1987-04-07,worldcheck
